title,writtennews,autor,editor,tags,hora da publicação,hora de acesso,url
Bilhetes com QR Code serão vendidos em horário integral nas estações,"Os bilhetes com QR Code para a Companhia Paulista de Trens Metropolitanos (CPTM) e o Metrô passam a ser vendidos em horário integral (ou seja, durante toda a operação) nas bilheterias das estações participantes do projeto-piloto a partir deste sábado (21). O teste da tecnologia começou em 3 de setembro. Desde então, já foram vendidas 62.978 passagens do tipo: 91,7% foram compradas em bilheterias, 5,8% em máquinas de autoatendimento e 2,5% no aplicativo VouD. Os bilhetes são unitários e não valem para integração com outros modais.",Roseli Andrion,,"QR Code,transporte,metrô,CPTM",2019-09-20 21:23:00,2019-09-21 18:29:32.884296,https://olhardigital.com.br/noticia/bilhetes-com-qr-code-serao-vendidos-em-horario-integral-nas-estacoes/90585
Vale a pena instalar o iOS 13 no iPhone 6s e no iPhone SE?,"Todo ano, a Apple anuncia uma nova versão do iOS; e todo ano, usuários dos iPhones mais antigos que receberão a atualização se preocupam com a mesma coisa: “será que isso vai fazer meu celular ficar lento?”. É uma preocupação válida, especialmente com a Apple, que costuma atualizar seus aparelhos por vários anos após o lançamento, criando uma situação em que o dispositivo mais antigo não tenha capacidade técnica de hardware para sustentar o novo software. O site Ars Technica realizou um experimento para observar como os dois aparelhos mais antigos na lista dos suportados pelo iOS 13 se saem com a nova versão do sistema operacional. Para isso, foram testados o iPhone 6s e o iPhone SE, ambos lançados com o processador A9; o primeiro, no final de 2015, e o segundo no início de 2016. Para isso, ambos os aparelhos passaram pelas mesmas etapas. Os dispositivos foram experimentados após uma instalação “do zero” do iOS 12.4.1 e do iOS 13 e conectados a uma conta no iCloud. Depois eles foram deixados “descansando” por algum tempo, para garantir que nenhum processo oculto em segundo plano, como indexação de arquivos, afetasse o desempenho. Após isso, foi comparado o tempo de abertura de vários aplicativos nativos do sistema nos aparelhos enquanto rodavam as duas versões do iOS. Confira abaixo os resultados: iPhone 6s Aplicativo iOS 12.4.1 iOS 13.0 Diferença de tempo (%) Safari 0,69 segundo 0,95 segundo +37,7% Câmera 1,09 segundo 1,15 segundo +5,5% Ajustes 0,60 segundo 0,61 segundo +1,6% Mail 0,75 segundo 0,77 segundo +2,7% Mensagens 0,62 segundo 0,67 segundo +8,06% Calendário 0,50 segundo 0,59 segundo +18,0% Mapas 1,29 segundo 1,53 segundo +18,6% Notas 0,86 segundo 0,80 segundo -7,0% TV 1,84 segundo 2,88 segundos +56,5% Inicialização 13,10 segundos 12,98 segundos -0,9% iPhone SE Aplicativo iOS 12.4.1 iOS 13.0 Diferença de tempo (%) Safari 0,67 segundo 0,83 segundo +23,9% Câmera 1,18 segundo 1,02 segundo -13,6% Ajustes 0,61 segundo 0,65 segundo +6,6% Mail 0,70 segundo 0,93 segundo +32,9% Mensagens 0,60 segundo 0,68 segundo +13,3% Calendário 0,56 segundo 0,64 segundo +14,3% Mapas 1,35 segundo 1,38 segundo +2,2% Notas 0,92 segundo 0,79 segundo -14,1% TV 1,96 segundo 2,58 segundos +31,6% Inicialização 14,01 segundos 12,87 segundos -8,1% Como é possível ver, houve uma piora de desempenho na maior parte dos critérios analisados, chegando a um aumento de 37,7% no tempo necessário para abrir o Safari ou 56% para abrir o aplicativo de TV. No entanto, ainda que o aumento relativo seja grande, os valores absolutos ainda não chegam a níveis grosseiros, como 1 segundo a mais para abrir um aplicativo. Como nota a publicação, a diferença não chega a ser notável se você não está com um cronômetro em mãos. Além disso, boa parte dos aplicativos viram uma mudança apenas marginal no tempo de abertura e alguns dos critérios viram uma redução no tempo necessário para a conclusão de uma tarefa. O exemplo mais interessante é o tempo de inicialização, que foi reduzido tanto no 6S quanto no SE. Assim, a tendência é que, do ponto de vista de desempenho, você não sinta um impacto negativo grande ao atualizar seu iPhone antigo para o novo iOS. ",Renato  Santino,,"iPhone,Apple,iOS,iphone 6s,iphone se,iOS 13",2019-09-20 18:20:00,2019-09-21 18:29:33.623224,https://olhardigital.com.br/noticia/vale-a-pena-instalar-o-ios-13-no-iphone-6s-e-no-iphone-se/90568
Ranking da pesada: os melhores filmes de Sylvester Stallone,"O novo Rambo vem aí. É o quinto longa com o personagem imortalizado por Sylvester Stallone, e seu segundo mais famoso, após o lutador Rocky. Inevitável, então, pensarmos nos melhores filmes com o astro, que foi muito mais do que um simples herói de ação. Você pode, e deve, discordar. Respeitosamente, claro. 10. Ajuste de Contas (Peter Segal, 2013) Stallone vs. De Niro. Rocky vs. Touro Indomável. Um duelo para cinéfilos. 09. O Juiz (Danny Cannon, 1995) Um papel feito para Stallone, embora tenha sido criado para os quadrinhos. 08. Os Mercenários (Sylvester Stallone, 2010) Humor e questionamentos sobre o envelhecimento para um herói de ação.  07. Rocky V (John G. Avildsen, 1990) Rocky prometeu não pisar mais num ringue. Então a luta se dá nas ruas, onde ele se criou. 06. Rocky II (Sylvester Stallone, 1979) Se no primeiro longa o importante era aguentar até o fim, aqui trata-se de conquistar o cinturão de campeão. 05. Falcão, o Campeão dos Campeões (Menahem Golan, 1987) Mistura de melodrama e ação que resultou num filme tocante sobre a paternidade.  04. Condenação Brutal (John Flynn, 1989) O grande Flynn dirige este ótimo veículo para os músculos de Stallone. Destaque para o vilão composto habilmente por Donald Sutherland. 03. Rocky – Um Lutador (John G. Avildsen, 1976) Ganhador do Oscar de melhor filme, entre outros prêmios, este trabalho catapultou a carreira de Stallone como ator, e também como roteirista. 02. Oscar – Minha Filha Quer Casar (John Landis, 1991) Aula de ritmo, o que é fundamental para o humor, numa comédia rasgada do genial Landis sobre mafiosos que tentam se regenerar, sem sucesso.  01. Rambo – Programado para Matar (Ted Kotcheff, 1982) É o único longa decente de toda a série. Mas é muito mais que decente, é uma verdadeira obra-prima antibelicista sobre um veterano do Vietnã que é forçado a reviver o conflito em solo americano.",Sergio  Alpendre,Wharrysson Lacerda,"Filmes,Cinema,Filmes&Series",2019-09-20 17:40:00,2019-09-21 18:29:33.953895,https://olhardigital.com.br/cinema-e-streaming/noticia/ranking-da-pesada-os-melhores-filmes-de-sylvester-stallone/90560
'Invasão' à Área 51: busca por ETs vira festa rave e rende memes na internet,"Um evento no Facebook criado em julho e intitulado “Storm Area 51, They Can’t Stop All of Us” (“Invada a Área 51, eles não podem parar todos nós”, em tradução livre) reuniu milhares de pessoas dispostas a invadir a Área 51 e “ver os alienígenas” escondidos por lá nesta sexta-feira (20). O evento foi organizado por uma página de memes e se tornou tão viral que ganhou um festival de música em sua homenagem, o Alienstock, inicialmente planejado para começar na quinta-feira (19) e terminar domingo (22). A festa aconteceria em Rachel, Nevada, e teria shows surpresa, instalações de arte e acampamento, segundo o criador, Matty Roberts. Mas por motivos de segurança, Roberts transferiu a Alienstock para para o centro de Las Vegas e planejou uma festa de uma noite, gratuita e aberta para maiores de 21.  Ainda assim, pessoas fantasiadas e com placas de ""libertem os alienígenas"" estão se reunindo próximos à Área 51, chamando a atenção da mídia e divertindo os internautas, que estão produzindo diversos memes e emplacaram a hashtag #StormArea51 como o assunto mais comentado no Twitter nesta sexta-feira. Os Ets sabendo que vão ser resgatados #Area51storm pic.twitter.com/aGdZX26zRB   As autoridades esperam que 30 mil pessoas compareçam ao local. Mas na noite de ontem, visitantes relataram ao Las Vegas Review Journal que ficaram decepcionadas com o público. ""Estou desapontado porque tem muito menos pessoas do que disseram na internet. Não acho que voltarei aqui novamente"", afirmou Nathan Brow, que estava vestido com uniforme da Swat. Um dos memes mais populares até agora diz respeito à ""Corrida Naruto"". Diversas publicações foram criadas para incentivar os visitantes a invadirem a Área 51, correndo com os braços voltados para trás, como fazem os personagens ninjas do popular anime ""Naruto"". MANO KKKKKKKKKK IMPOSSÍVEL que essa ideia tenha vindo de um gringo, certeza que foi br#Area51stormpic.twitter.com/v0kkUCqSfi Em uma reportagem da emissora de televisão KTNV, em Rachel, um dos participantes do festival aparece correndo ao fundo utilizando-se da técnica do personagem da animação.  Policiais foram orientados a bloquear a estrada para evitar que carros lotem o local e a impedir qualquer tentativa de invasão à Área 51. Um porta-voz da Força Aérea Americana disse em entrevista ao jornal americano The Washington Post que ""(a Área 51) é um campo de treino para a Força Aérea dos Estados Unidos, e nós desencorajamos todos que tentarem invadir o lugar onde as Forças Armadas americanas são treinadas"". Fonte: Las Vegas Review Journal/Folha/Veja/Galileu",Luiza Tozzato,Liliane Nakagawa,"Evento,Facebook,estados unidos,EUA,memes,alienigena,Área 51",2019-09-20 16:09:00,2019-09-21 18:29:34.499136,https://olhardigital.com.br/noticia/-invasao-a-rea-51-busca-por-ets-vira-festa-rave-e-rende-memes-na-internet/90565
YouTube cancela nova política de verificação após reação negativa,"Na última quinta-feira (19), o YouTube anunciou mudanças no sistema de verificação de autenticidade de canais. Nesta sexta-feira (20), a empresa decidiu repensar sua decisão e anunciou o cancelamento de quase todas as medidas reveladas previamente diante de reação negativa da comunidade. Anteriormente, o YouTube previa que muitos canais poderiam perder seu selo de verificação, o que causou a maior parte da revolta. Atualmente, o sistema requer que um produtor de conteúdo tenha no mínimo 100 mil assinantes como único requisito para ser analisado e ganhar o selo. A ideia do YouTube era passar a distribuir o selo apenas para canais que atendessem o critério dos 100 mil e apresentassem “necessidade clara de prova de autenticidade”, o que abrangeria apenas artistas, celebridades e empresas de grande porte, além dos criadores mais populares da plataforma. Quem não atendesse a esses novos requisitos poderia ter seu selo revogado. Com isso, o YouTube gerou a ira de boa parte da comunidade, já que o selo é mais do que apenas um status. O ícone também coloca maior peso nos vídeos do canal na hora quando um usuário faz uma busca na plataforma e dá maior destaque a publicações feitas na área de comentários dos vídeos. Ao tirar o símbolo, o YouTube também impediria que canais novos ganhassem a oportunidade de prosperar, na visão dos afetados. Como resultado, Susan Wojcicki, CEO do YouTube, chegou a publicar um texto pedindo desculpas pelas ações da empresa após a clara reação negativa dos criadores de conteúdo. “Lamento pela frustração que causamos com nossa nova abordagem para a verificação. Passamos do ponto ao tentar fazer melhorias”, disse ela pelo seu perfil no Twitter. To our creators & users–I’m sorry for the frustration & hurt that we caused with our new approach to verification. While trying to make improvements, we missed the mark. As I write this, we're working to address your concerns & we’ll have more updates soon. O YouTube ainda tem algumas medidas novas em vigor, mas elas são consideravelmente mais brandas. Os únicos critérios serão a quantidade de seguidores do canal, que ainda precisa ter pelo menos 100 mil inscritos, a autenticidade, de forma que o canal precisa representar quem ele diz representar (criador de conteúdo, artista ou empresa), e o canal deve estar completo, com descrição, ícone e conteúdo, além de ter atividade constante na plataforma.",Renato  Santino,,"Youtube,youtubers,youtube",2019-09-20 21:20:00,2019-09-21 18:29:35.194712,https://olhardigital.com.br/noticia/youtube-cancela-nova-politica-de-verificacao-apos-reacao-negativa/90586
Toyota usa gerador movido a hidrogênio para operar fábrica no Japão,"A Toyota usa células de combustível de hidrogênio para abastecer tudo, de carros comuns a veículos lunares. Agora, a montadora japonesa está testando o material no abastecimento de uma de suas fábricas no Japão. Um 'gerador' experimental foi construído usando componentes do Toyota Mirai, carro movido a hidrogênio, e mostra como é possível fornecer eletricidade com emissão zero para edifícios e veículos. O gerador usa dois sistemas completos do Mirai, de acordo com a Toyota. Cada sistema inclui uma pilha de células de combustível (que é a parte que realmente transforma o hidrogênio em eletricidade), uma unidade de controle de energia e uma bateria de reserva. O reaproveitamento dos componentes do Mirai ajuda a manter os custos baixos. A Toyota planeja operar o gerador 24 horas por dia em sua fábrica. A companhia vai monitorar a eficiência do gerador (a quantidade de eletricidade produzida a partir de uma determinada quantidade de hidrogênio), a capacidade de fornecer eletricidade de forma consistente, sua durabilidade e facilidade de manutenção. Se tudo correr bem nos testes, a Toyota deve aplicar as células de hidrogênio em outras instalações. A montadora ainda tem um plano para produzir hidrogênio em suas próprias fábricas. A Toyota acredita que pode obter o material como subproduto da fabricação de componentes do sistema de células de combustível. Encontrar uma forma ambientalmente correta de produzir grandes quantidades de hidrogênio continua sendo um dos principais obstáculos para estes sistemas. Apesar dos problemas, a Toyota continua tratando as células de hidrogênio como a solução do futuro, tendo o Mirai como seu carro-chefe. A montadora também está testando um caminhão movido a hidrogênio na Califórnia e planeja introduzir ônibus da categoria nos Jogos Olímpicos de Tóquio, em 2020. Além disso, está trabalhando com a JAXA, a agência espacial japonesa, para desenvolver um veículo lunar com este combustível. Fonte: Digital Trends",Henrique  Freitas,Rafael Rigues,"Toyota,carros elétricos,Carro hidrogênio,meio ambiente,Combustível",2019-09-20 16:37:00,2019-09-21 18:29:35.405554,https://olhardigital.com.br/noticia/toyota-usa-gerador-movido-a-hidrogenio-para-operar-fabrica-no-japao/90559
iPhone 11 chega à China com poucas filas,"O iPhone 11 chegou nesta sexta-feira (20) às lojas na China e, diferentemente de outros lançamentos da Apple, desta vez contou com poucas filas. As lojas de Xangai e Pequim, por exemplo, somaram apenas algumas dezenas de clientes, o que anos atrás era algo inimaginável, visto que centenas de pessoas costumavam aguardar horas do lado de fora destes mesmos locais.  No entanto, há uma boa notícia para a Apple no quesito online, onde as pré-vendas do iPhone 11, com preços entre 699 e 1.099 dólares, iniciaram na semana passada. Analistas disseram que a Apple conseguiu um começo melhor este ano do que em 2018. O site de comércio eletrônico chinês JD.com revelou que as pré-vendas do primeiro dia do iPhone 11 aumentaram 480% em comparação com as vendas do iPhone XR no ano passado. O lançamento do iPhone 11 nas lojas chinesas ocorreu um dia depois que a Huawei anunciou novos smartphones, considerados mais compactos, com câmeras mais sensíveis e telas melhores do que as do iPhone. A Huawei viu aumentar o apoio dos consumidores chineses depois que a marca foi envolvida em uma guerra comercial entre os Estados Unidos e a China, que, por sua vez, consumiu a participação de mercado da Apple no país. O desempenho de vendas do último produto da gigante de tecnologia norte-americana está sendo monitorado de perto pelo maior mercado de smartphones do mundo, onde a Apple vem perdendo espaço nos últimos anos para concorrentes locais, que contam com aparelhos mais baratos e com novos recursos. Via: Reuters  ",Fabrício Filho,Rafael Rigues,"iPhone,e-commerce,Apple,China,Huawei,eua x china,iphone 11",2019-09-20 16:41:00,2019-09-21 18:29:35.731160,https://olhardigital.com.br/noticia/iphone-11-chega-a-china-com-poucas-filas/90557
Tim vai ativar rede 5G no Cubo Itaú até o fim do ano,"A Tim anunciou nesta sexta-feira (20), durante o Cubo Conecta 2019, que, por meio de uma licença específica da Anatel, a operadora instalará no local, até o fim do ano, uma antena com a rede de quinta geração em parceria com a Ericsson, para que as startups baseadas no Cubo Itaú possam testar e desenvolver aplicações potencializadas pela nova tecnologia. A ativação é mais uma celebração da parceria de quatro anos do Cubo com a operadora, que já havia instalado no espaço o NB-IoT, uma plataforma dedicada para o desenvolvimento de soluções de internet das coisas com baixo consumo de energia e grande alcance de cobertura. ""A Tim quer estar inserida em ambientes de inovação, de pesquisa e de empreendedorismo, como o Cubo Itaú, viabilizando tecnologias que fomentem esse ecossistema favorável a criação de novos produtos e serviços que melhorem a vida dos cidadãos do nosso País. Estamos engajados na busca de novas aplicações que contemplem já a próxima onda tecnológica, o 5G, e a parceria com o Cubo Itaú é parte importante deste processo"", avaliou o CTIO da Tim Brasil, Leonardo Capdeville. Para o Cubo Conecta 2019, evento de celebração do aniversário do espaço, a operadora apresentará experiências de alta performance na rede 4G em parceria com a Ericsson no lounge TIM – IoT, indústria 4.0, AR, baixa latência – que poderão ser potencializadas com o 5G. Todas as experimentações estarão disponíveis para os visitantes do Cubo Itaú durante o evento. Inaugurado em setembro de 2015 pelo Itaú, em parceria com a Redpoint eventures, o Cubo Itaú é o maior hub de fomento ao empreendedorismo tecnológico da América Latina, uma organização sem fins lucrativos que acelera a conexão e a criação de negócios entre grandes empresas e startups. Está localizado na região da Vila Olímpia, em São Paulo, e tem em toda a sua rede, física e digital, mais de 250 startups. O espaço também oferece workshops, palestras e encontros relevantes para o crescimento do ecossistema de inovação. Neste último ano da parceria, a Tim disse que avaliou mais de 200 soluções e ultrapassou o lançamento de 30 desafios para startups do Cubo, além de organizar mais de 20 pitches de inovação e 10 provas de conceito com startups. Um dos exemplos, segundo a operadora, é a MOL - Mediação Online, empresa especializada na resolução de conflitos, que ajuda com os desafios de redução de custos no contencioso. Além dela, há também a OvermediaCast, que traz soluções de videobot para aumentar a satisfação dos clientes com o atendimento. Nos últimos 12 meses, a Tim estima que quase uma centena de colaboradores das áreas de compras, sustentabilidade, governança, financeiro, logística, RH, comercial, marketing, atendimento e tecnologia passaram por imersões no maior ecossistema de startups da América Latina para avaliar e explorar aspectos relacionados à transformação digital e seus desdobramentos no ambiente corporativo. ""Muito mais do que dar apoio à iniciativa, temos o Cubo como um ambiente inspirador para nossas equipes internas, permitindo uma troca de conhecimento muito valiosa para nós como empresa"", disse Capdeville. O CTO da Tim Brasil acredita que o Cubo tem sido importante na construção da maneira de pensar a cultura digital da operadora. ""O nosso processo de Transformação Digital tem o Cubo como um hub de inovação que combina educação empreendedora, cultura digital, espaços colaborativos, novas experiências e uma densidade de negócio única na América Latina"", completou Capdeville.      ",Fabrício Filho,Liliane Nakagawa,"4G,Anatel,Tim,Empreendedorismo,5G,Itaú,Cubo Itaú",2019-09-20 18:09:00,2019-09-21 18:29:35.968700,https://olhardigital.com.br/noticia/tim-vai-ativar-rede-5g-no-cubo-itau-ate-o-fim-do-ano/90578
"Pessoas que não bebem podem sofrer de doença no fígado por bactéria produtora de álcool, diz pesquisa","Pesquisadores do Instituto Capital de Pediatria da China publicaram nesta quinta-feira (19) um estudo no site Cell Metabolism sobre um tipo de bactéria que produz álcool dentro do nosso intestino. A descoberta foi feita enquanto a equipe médica tratava de um paciente com Doença Hepática Gordurosa grave, uma condição em que muita gordura se acumula no órgão. O consumo excessivo de álcool é a principal causa de fígado gorduroso, mas muitas pessoas também desenvolvem Doença Hepática Gordurosa Não Alcoólica (DHGNA). O paciente em questão tinha a DHGNA denominada esteato-hepatite não alcóolica (EHNA) que inflamou seriamente seu fígado. Ao examinar mais profundamente o paciente, a equipe descobriu que o nível de álcool em seu sangue estava muito alto, além do ponto de intoxicação típica e potencialmente fatal. Como o homem nunca bebeu regularmente, os médicos concluíram que ele tinha uma condição rara chamada Síndrome da Autofermentação (ou Auto-brewery Syndrome, em inglês). As vítimas dessa síndrome produzem grandes quantidades de álcool através da decomposição ou fermentação de alimentos ricos em amido. Não existem muitos casos documentados da doença, mas a principal teoria é de que o crescimento excessivo de certas leveduras (organismos que ajudam a fabricar cerveja e vinho) é sua única causa. “Surpreendentemente, descobrimos que esse efeito era devido a bactérias e não a fungos, porque os tratamentos antifúngicos não tinham efeito sobre essa síndrome”, explicou o médico e principal autor da pesquisa, Jing Yuan. “Nesse caso, isolamos e identificamos algumas cepas de Klebsiella pneumoniae fortemente associadas à endoprodução de álcool”. Para testar sua teoria, Yuan e sua equipe fizeram experiência com ratos. Eles colocaram amostras de K. pneumoniae (as cepas foram batizadas de HiAlc) diretamente no estômago de camundongos, que desenvolveram sua própria versão da DHGNA. O mesmo aconteceu quando eles substituíram as bactérias intestinais naturais de camundongos não afetados por bactérias desses camundongos por meio de um transplante de microbiota fecal. Mas o resultado foi diferente com outro grupo que não utilizou K. pneumoniae antes do transplante, o que atribuiu ainda mais a culpa a essas bactérias específicas. Depois, a equipe estudou pessoas que possuem DHGNA na China e descobriram que mais de 60% também portavam essas cepas exatas de K. pneumoniae. Ao analisar todos esses casos Yuan disse que é muito provável que essas bactérias se tornem um “agente causador da DHGNA em seres humanos”. Há muita pesquisa a ser feita para entender essas bactérias e sua conexão com a saúde do fígado. Por isso, Yuan e sua equipe estão planejando um estudo maior que seguirá adultos e crianças para ajudar a entender por que algumas pessoas têm maior probabilidade de sofrer com essas cepas do que outras. Além de um teste para sabe se a eliminação dessas bactérias por meio de antibióticos pode ajudar algumas pessoas com DHGNA. Felizmente, o paciente original que iniciou a pesquisa de Yuan se recuperou do pior de sua síndrome de autofermentação e a gravidade da sua doença do fígado gorduroso também diminuiu. A equipe credita essa recuperação a alterações na dieta do paciente e a tratamentos com antibióticos. Fonte: Gizmodo",Luiza Tozzato,Rafael Rigues,"Saúde,Medicina,Pesquisa,China,Ciência,estudo",2019-09-20 16:44:00,2019-09-21 18:29:35.993134,https://olhardigital.com.br/noticia/bacteria-pode-ser-causadora-de-doenca-ligada-ao-consumo-de-alcool/90556
"Mesmo sem Google, Huawei espera vender 20 milhões de Mate 30","A Huawei finalmente revelou a linha Mate 30, que não tem aplicativos nem serviços do Google. Em razão da proibição comercial dos EUA contra a empresa chinesa, os usuários dos aparelhos da série terão de usar a Huawei App Gallery e o ecossistema Huawei Mobile Services (HMS). Apesar desse desafio, a marca espera vender até 20 milhões de unidades da linha Mate 30. Em entrevista ao Android Authority, Richard Yu, CEO da companhia, afirma que a proibição comprometerá os negócios da empresa fora da China. ""Já na China, as vendas aumentarão muito porque esse é o smartphone 5G top de linha mais competitivo do mundo."" Quando as tensões comerciais entre EUA e China aumentaram no início do ano, a Huawei teve de redirecionar muitos de seus recursos para a China e estabelecer mais canais de distribuição no país, afirma o IDC. Isso ajudou a empresa a melhorar suas vendas na região e registrar a marca histórica de 36,4 milhões de unidades comercializadas no último trimestre. Agora, Yu aposta no gigante asiático para tornar a linha Mate 30 um sucesso. Após as proibições, as vendas de smartphones da Huawei na China aumentaram 31% (no segundo trimestre de 2019), de acordo com a Canalys. De fato, a empresa tem a maior participação de mercado no país nos últimos oito anos. Os números contrastam com o leve declínio nos volumes globais no mesmo período. Huawei resiste ao bloqueio No lançamento do Mate 30, a empresa anunciou que havia comercializado mais de 17 milhões de smartphones P30 e mais de 16 milhões de aparelhos da linha Mate 20. A grande diferença é que esses modelos ainda incluíam serviços do Google. Embora não haja um fim visível para os problemas da Huawei com os EUA, Yu espera que a empresa possa lançar aplicativos e serviços do Google para o Mate 30 da noite para o dia após a suspensão da proibição. Mesmo que a fabricante não possa vender os telefones nos EUA no momento, Yu diz que eles serão comercializados na Europa e na China já em outubro. ""Não podemos parar nossos negócios. Continuaremos vendendo."" Por mais positivo que seja o executivo da Huawei, é preciso esperar. Ainda é cedo para dizer se a linha Mate 30 pode ser bem-sucedida apenas com base na demanda chinesa. Porém, uma coisa é certa: a Huawei não terá notícias tão agradáveis em relação às vendas do celular fora da China. Fonte: Android Authority",Henrique  Freitas,Roseli Andrion,"Smartphones,Huawei,vendas,eua x china,Mate 30 Pro,guerra comercial",2019-09-20 20:54:00,2019-09-21 18:29:36.218722,https://olhardigital.com.br/noticia/mesmo-sem-google-huawei-espera-vender-20-milhoes-de-mate-30/90580
